group,n_features,mae_log,within_2x,d_mae,d_2x,design
budget only (baseline),1,1.0531655284672183,0.4530711504440168,0.0,0.0,add one to budget
+ form,5,0.9929786170733067,0.5060113849418244,-0.060186911393911635,0.0529402344978076,add one to budget
+ genre,11,1.0515132827240852,0.4595836169506784,-0.0016522457431331627,0.006512466506661596,add one to budget
+ calendar,5,1.0738335211018133,0.46814164997123386,0.020667992634594956,0.015070499527217063,add one to budget
+ studio,5,1.0204741015951109,0.48889559175554664,-0.032691426872107465,0.03582444131152984,add one to budget
+ director,4,1.0447075409055144,0.465861307129014,-0.008457987561703906,0.012790156684997223,add one to budget
+ cast,4,1.0913593297071114,0.4640975503889065,0.03819380123989302,0.011026399944889687,add one to budget
+ cinematographer,4,1.0645594517624188,0.45862238768821945,0.011393923295200503,0.005551237244202645,add one to budget
+ composer,4,1.0690579324801386,0.45773381899454263,0.015892404012920247,0.004662668550525828,add one to budget
+ writer,4,1.0546986858595417,0.46619916521225013,0.0015331573923234032,0.013128014768233331,add one to budget
all groups,38,0.9226964489739873,0.5697377070840993,-0.13046907949323105,0.11666655664008252,add one to budget
- form,34,1.00078546128629,0.5102104153194795,0.07808901231230281,-0.059527291764619794,remove one from full
- genre,28,0.939365141219663,0.5457559804725097,0.016668692245675687,-0.023981726611589593,remove one from full
- calendar,34,0.9313303964532471,0.5590315000808584,0.00863394747925983,-0.010706207003240875,remove one from full
- studio,34,0.9467483930480889,0.5397574585815658,0.024051944074101606,-0.029980248502533557,remove one from full
- director,35,0.92865805823872,0.5583217854853677,0.00596160926473277,-0.011415921598731615,remove one from full
- cast,35,0.9346599412297985,0.5560008139722413,0.01196349225581117,-0.013736893111857995,remove one from full
- cinematographer,35,0.9326005683544133,0.5650689372678035,0.009904119380426013,-0.004668769816295826,remove one from full
- composer,35,0.931227483297662,0.5609843346796843,0.008531034323674747,-0.008753372404414983,remove one from full
- writer,35,0.923926186450163,0.5709698340389348,0.0012297374761757185,0.001232126954835433,remove one from full
