learner,year,n_test,mae_log,within_2x
budget only,2010,104,0.8217308252020751,0.6057692307692307
ridge,2010,104,0.7628204768222999,0.5865384615384616
random forest,2010,104,0.7515955472227686,0.6634615384615384
neural net (2x64),2010,104,1.08492333658274,0.4423076923076923
boosting (defaults),2010,104,0.7757151433746983,0.6730769230769231
boosting (shipped),2010,104,0.7867650457944653,0.6346153846153846
budget only,2011,105,0.8977782938510634,0.5904761904761905
ridge,2011,105,0.8507153183098991,0.6095238095238096
random forest,2011,105,0.8285241802888287,0.5904761904761905
neural net (2x64),2011,105,1.2130041262957572,0.4095238095238095
boosting (defaults),2011,105,0.8350508364112378,0.6190476190476191
boosting (shipped),2011,105,0.8339708549370473,0.580952380952381
budget only,2012,90,0.8768445708521652,0.4666666666666667
ridge,2012,90,0.7190016598887168,0.6222222222222222
random forest,2012,90,0.7232978071444365,0.6111111111111112
neural net (2x64),2012,90,1.0875173480931817,0.4444444444444444
boosting (defaults),2012,90,0.7455645430252672,0.5333333333333333
boosting (shipped),2012,90,0.7328210063103123,0.5888888888888889
budget only,2013,96,0.8452512365673458,0.59375
ridge,2013,96,0.7105475730954324,0.625
random forest,2013,96,0.7239749788631631,0.6041666666666666
neural net (2x64),2013,96,1.1357978689769648,0.5
boosting (defaults),2013,96,0.7190110434430063,0.7083333333333334
boosting (shipped),2013,96,0.7474412321318994,0.6875
budget only,2014,99,0.9743726275338682,0.5252525252525253
ridge,2014,99,0.812286909151898,0.5757575757575758
random forest,2014,99,0.7291036444600596,0.5757575757575758
neural net (2x64),2014,99,0.9536415563943049,0.48484848484848486
boosting (defaults),2014,99,0.7680465424105921,0.5555555555555556
boosting (shipped),2014,99,0.7503122401388995,0.5959595959595959
budget only,2015,106,1.1178660722344123,0.4528301886792453
ridge,2015,106,0.9447426997330248,0.5754716981132075
random forest,2015,106,0.9679886743258719,0.5943396226415094
neural net (2x64),2015,106,1.220017106082073,0.44339622641509435
boosting (defaults),2015,106,0.9612795494594841,0.5849056603773585
boosting (shipped),2015,106,0.9695029954834092,0.5943396226415094
budget only,2016,116,0.9447964227943784,0.5258620689655172
ridge,2016,116,0.8338430814895534,0.5603448275862069
random forest,2016,116,0.818641414671404,0.5603448275862069
neural net (2x64),2016,116,0.9681323597728809,0.5172413793103449
boosting (defaults),2016,116,0.826728328638001,0.6637931034482759
boosting (shipped),2016,116,0.8321498850194211,0.646551724137931
budget only,2017,100,1.0576283804318138,0.51
ridge,2017,100,0.8992905825839727,0.55
random forest,2017,100,0.89188314564317,0.65
neural net (2x64),2017,100,1.1033451012790487,0.48
boosting (defaults),2017,100,0.8966566804999885,0.6
boosting (shipped),2017,100,0.9409366478560623,0.58
budget only,2018,114,0.9509459878493229,0.4824561403508772
ridge,2018,114,0.8302734945926332,0.5087719298245614
random forest,2018,114,0.849993183231078,0.5701754385964912
neural net (2x64),2018,114,1.049930992231561,0.45614035087719296
boosting (defaults),2018,114,0.8744311457450523,0.49122807017543857
boosting (shipped),2018,114,0.8486785082872085,0.5614035087719298
budget only,2019,63,1.5423936581185365,0.23809523809523808
ridge,2019,63,1.375086029542536,0.36507936507936506
random forest,2019,63,1.4104284555148734,0.42857142857142855
neural net (2x64),2019,63,1.5009480154472756,0.3492063492063492
boosting (defaults),2019,63,1.4689413992609328,0.36507936507936506
boosting (shipped),2019,63,1.3881112583288886,0.4126984126984127
budget only,2020,36,1.5538041285213526,0.3333333333333333
ridge,2020,36,1.4931858290970363,0.3611111111111111
random forest,2020,36,1.4387058703828535,0.3888888888888889
neural net (2x64),2020,36,1.6465618781140814,0.16666666666666666
boosting (defaults),2020,36,1.398709552523698,0.3611111111111111
boosting (shipped),2020,36,1.426033264686684,0.4166666666666667
budget only,2021,64,1.0446761243729652,0.390625
ridge,2021,64,0.894959529596343,0.515625
random forest,2021,64,0.867432800213739,0.53125
neural net (2x64),2021,64,1.104231540322712,0.4375
boosting (defaults),2021,64,0.850887940711774,0.53125
boosting (shipped),2021,64,0.8973207773487226,0.53125
budget only,2022,70,1.144170991889017,0.4857142857142857
ridge,2022,70,1.029417603806017,0.5428571428571428
random forest,2022,70,0.945927855259804,0.5714285714285714
neural net (2x64),2022,70,1.217373755069585,0.38571428571428573
boosting (defaults),2022,70,0.9811130498099321,0.5571428571428572
boosting (shipped),2022,70,1.018057512866206,0.5285714285714286
budget only,2023,76,1.2063834291090845,0.4342105263157895
ridge,2023,76,1.0458273314811908,0.5131578947368421
random forest,2023,76,1.1091936176702746,0.5263157894736842
neural net (2x64),2023,76,1.293012205584099,0.47368421052631576
boosting (defaults),2023,76,1.179040527679443,0.5
boosting (shipped),2023,76,1.228111442812151,0.47368421052631576
budget only,2024,64,1.0311540371743613,0.40625
ridge,2024,64,0.9443525813250904,0.515625
random forest,2024,64,0.9258177407534268,0.515625
neural net (2x64),2024,64,1.0835962024219792,0.40625
boosting (defaults),2024,64,0.9800858696373301,0.484375
boosting (shipped),2024,64,0.9875685743416727,0.484375
budget only,2025,75,0.8337611330260613,0.5333333333333333
ridge,2025,75,0.7031733463441112,0.6266666666666667
random forest,2025,75,0.7567077503056951,0.5866666666666667
neural net (2x64),2025,75,0.9322339896426329,0.4266666666666667
boosting (defaults),2025,75,0.7517079309354748,0.5866666666666667
boosting (shipped),2025,75,0.7782920948053597,0.6
budget only,2026,48,0.9003875643909801,0.4791666666666667
ridge,2026,48,0.8570834038966835,0.5416666666666666
random forest,2026,48,0.86198483640182,0.5208333333333334
neural net (2x64),2026,48,0.9955095359117617,0.4791666666666667
boosting (defaults),2026,48,0.8529026865701096,0.4791666666666667
boosting (shipped),2026,48,0.8611026003207835,0.5
