comparison,n_films,rate_a,rate_b,difference,ci_lo,ci_hi,discordant,p_mcnemar,p_wilcoxon,verdict
full model vs budget only,1448,0.574585635359116,0.4882596685082873,0.08632596685082872,0.06077348066298338,0.11258632596685063,391,2.5466049022813335e-10,1.52587890625e-05,significant
full model vs without form,1448,0.574585635359116,0.5310773480662984,0.04350828729281764,0.018646408839778972,0.06698895027624308,315,0.0004586617764466947,0.008984997655215593,significant
full model vs without genre,1448,0.574585635359116,0.5711325966850829,0.0034530386740331265,-0.013812154696132617,0.02071823204419887,159,0.7511907919533747,0.8767217432348915,not distinguishable
full model vs without calendar,1448,0.574585635359116,0.5718232044198895,0.0027624309392264568,-0.014502762430939176,0.01933701657458564,148,0.805320956640181,0.8067663226228976,not distinguishable
full model vs without studio,1448,0.574585635359116,0.56146408839779,0.013121546961325947,-0.0055248618784530246,0.03176795580110492,191,0.19263362197418868,0.30028987962532405,not distinguishable
full model vs without director,1448,0.574585635359116,0.5780386740331491,-0.0034530386740331265,-0.018646408839779083,0.013121546961325947,139,0.7345393172729979,0.7959872153886274,not distinguishable
full model vs without cast,1448,0.574585635359116,0.5621546961325967,0.012430939226519278,-0.006215469613259694,0.03038674033149169,180,0.20499173682591762,0.1208386531141816,not distinguishable
full model vs without cinematographer,1448,0.574585635359116,0.5808011049723757,-0.006215469613259694,-0.02209944751381221,0.01035911602209938,141,0.5006292645252414,0.221330082993901,not distinguishable
full model vs without composer,1448,0.574585635359116,0.5759668508287292,-0.0013812154696132284,-0.017973066298342572,0.015193370165745845,154,0.935808920020393,0.9547075542182767,not distinguishable
full model vs without writer,1448,0.574585635359116,0.5863259668508287,-0.011740331491712719,-0.027641574585635393,0.004834254143646466,147,0.186765369812017,0.43796657516602056,not distinguishable
