arm,year,n_test,mae_log,within_2x
metadata (35),2010,104,0.7880705258399663,0.625
metadata + synopsis,2010,104,0.7637745306540051,0.5769230769230769
synopsis only,2010,104,1.2105164081851856,0.3942307692307692
metadata (35),2011,105,0.8328315818194161,0.6095238095238096
metadata + synopsis,2011,105,0.8475533442612587,0.5428571428571428
synopsis only,2011,105,1.329585571952622,0.3333333333333333
metadata (35),2012,90,0.7166371363826851,0.5777777777777777
metadata + synopsis,2012,90,0.7422491802518331,0.5777777777777777
synopsis only,2012,90,1.320156013271449,0.24444444444444444
metadata (35),2013,96,0.7375155336784663,0.6875
metadata + synopsis,2013,96,0.690667914620299,0.6666666666666666
synopsis only,2013,96,1.3177238224383776,0.3229166666666667
metadata (35),2014,99,0.7727184576850826,0.5656565656565656
metadata + synopsis,2014,99,0.8299046565713984,0.5757575757575758
synopsis only,2014,99,1.4058956057846708,0.29292929292929293
metadata (35),2015,106,0.9611315810371397,0.5943396226415094
metadata + synopsis,2015,106,0.9562192313833429,0.5660377358490566
synopsis only,2015,106,1.4385501492668438,0.3867924528301887
metadata (35),2016,116,0.8147792673580351,0.6379310344827587
metadata + synopsis,2016,116,0.7971951727830426,0.6637931034482759
synopsis only,2016,116,1.2885408858604186,0.3620689655172414
metadata (35),2017,100,0.9634839196710061,0.61
metadata + synopsis,2017,100,0.9176803946277081,0.61
synopsis only,2017,100,1.400418915864986,0.33
metadata (35),2018,114,0.857653575546572,0.5789473684210527
metadata + synopsis,2018,114,0.8098385731552925,0.631578947368421
synopsis only,2018,114,1.2636388144632558,0.3684210526315789
metadata (35),2019,63,1.3562809783948848,0.4126984126984127
metadata + synopsis,2019,63,1.3553035635411461,0.4603174603174603
synopsis only,2019,63,2.2361284547358444,0.19047619047619047
metadata (35),2020,36,1.3629307086521592,0.4444444444444444
metadata + synopsis,2020,36,1.471111856309446,0.3888888888888889
synopsis only,2020,36,1.659247406079148,0.2777777777777778
metadata (35),2021,64,0.9735757700031811,0.5
metadata + synopsis,2021,64,0.8629682521382189,0.484375
synopsis only,2021,64,1.250707858301785,0.359375
metadata (35),2022,70,0.9901065589001821,0.5
metadata + synopsis,2022,70,0.9688116963138289,0.5142857142857142
synopsis only,2022,70,1.3578044256156836,0.3
metadata (35),2023,76,1.2042098966954757,0.5131578947368421
metadata + synopsis,2023,76,1.139785979259412,0.5526315789473685
synopsis only,2023,76,1.504394913035254,0.2894736842105263
metadata (35),2024,64,0.9986729229166427,0.484375
metadata + synopsis,2024,64,1.0678630521840922,0.453125
synopsis only,2024,64,1.510913738768802,0.390625
metadata (35),2025,75,0.7724653696999687,0.6
metadata + synopsis,2025,75,0.7862817493100225,0.5866666666666667
synopsis only,2025,75,1.235462417672832,0.37333333333333335
metadata (35),2026,48,0.833784339544149,0.5208333333333334
metadata + synopsis,2026,48,0.8792696851684113,0.4583333333333333
synopsis only,2026,48,1.3473844008661366,0.375
