learning_rate,max_iter,min_samples_leaf,l2_regularization,max_leaf_nodes,max_features,random_state,dev_mae,dev_within_2x
0.03,250,40,20.0,15,0.5,0,0.7938552303402804,0.6238210019651281
0.02,400,10,5.0,63,1.0,0,0.8026890873605349,0.6234255417288838
0.03,900,10,0.1,63,0.7,0,0.8171356884623588,0.6173519429723986
0.02,150,5,5.0,63,0.7,0,0.79555705813161,0.6173234458513797
0.02,250,20,1.0,31,0.5,0,0.7922958379202678,0.617081544300309
0.03,150,20,20.0,63,0.5,0,0.7959473480379997,0.6165678090550251
0.1,250,20,0.0,127,0.7,0,0.8190193812347002,0.613292319435952
0.15,150,5,20.0,15,0.7,0,0.8052177461717933,0.6129828275138262
0.05,400,20,20.0,15,0.7,0,0.8085002636457427,0.6103827554379153
0.05,900,20,0.0,127,1.0,0,0.8312777064198413,0.6096131974779431
0.08,900,5,1.0,127,1.0,0,0.8303990124573303,0.60953471915211
0.02,400,80,5.0,31,1.0,0,0.8095037147203901,0.6084326031842981
0.05,900,10,1.0,31,0.5,0,0.823612509460268,0.6079001265422467
0.08,150,20,5.0,127,1.0,0,0.8151731956510777,0.6077831695758508
0.1,900,10,5.0,127,0.7,0,0.8251696089231226,0.6075782203726393
0.05,150,20,20.0,31,1.0,0,0.8042100472046813,0.607467221408269
0.05,400,40,1.0,15,1.0,0,0.8191333584875189,0.6073852836857208
0.15,900,5,20.0,127,0.5,0,0.8078582777262977,0.606643474173979
0.08,150,80,5.0,31,0.5,0,0.8058306129830056,0.6048939400004074
0.05,400,20,1.0,15,1.0,0,0.8125345264858524,0.6043847009845509
0.05,400,40,20.0,15,1.0,0,0.8129754325850588,0.6036970658435776
0.02,900,5,20.0,127,1.0,0,0.8177417689295521,0.6026977443984687
0.02,600,5,1.0,127,1.0,0,0.8309446774996913,0.6012528751307016
0.1,400,20,0.1,127,0.7,0,0.8321338383852878,0.5991088487943406
0.15,150,40,20.0,15,0.7,0,0.8166702006509534,0.5984444870679304
0.08,250,10,1.0,127,1.0,0,0.8295607220915783,0.5978219006333698
0.1,150,80,5.0,15,0.7,0,0.8108426472794558,0.5966191547900905
0.08,250,40,1.0,31,0.5,0,0.8202045235686326,0.594553377952458
0.08,400,80,0.0,127,0.5,0,0.8213285274475014,0.5929762663564841
0.02,150,10,20.0,31,1.0,0,0.8144758954966244,0.5923156223885886
0.08,900,10,20.0,63,0.5,0,0.8166190038461649,0.5884117830657428
0.03,600,40,0.1,31,1.0,0,0.8236636646452036,0.5869273578373672
0.15,900,5,0.0,15,1.0,0,0.8407943961358529,0.5848172004432919
0.15,600,40,0.1,127,0.5,0,0.8650993121704357,0.5824131729133926
0.08,600,80,1.0,31,0.5,0,0.836876267839705,0.5817296365948046
0.08,600,80,5.0,63,0.7,0,0.8435406661377992,0.5812139574348794
0.08,400,80,0.1,127,1.0,0,0.8369946516388356,0.5782875089676333
0.02,150,5,20.0,63,1.0,0,0.8192353170535864,0.5778952882919085
0.15,600,20,0.1,31,0.5,0,0.8480951668170164,0.5741910389053377
0.15,900,40,20.0,127,0.5,0,0.8477911455437687,0.5636094161022679
